XY Plot 1
Distance [mm]
Mag_B [mTesla]
__cartesian__ 0 0 0.000000 170.051408 112.098362 470.876346
__settings__ 1 0 0 0 11 11 0 0 0 0
93.3779 468.406
93.49 468.366
93.6021 468.32
93.7142 468.268
93.8263 468.212
93.9384 468.151
94.0505 468.086
94.1626 468.018
94.2747 467.808
94.3868 467.555
94.4989 467.334
94.611 467.146
94.7231 466.989
94.8352 466.863
94.9473 466.768
95.0594 466.702
95.1715 466.663
95.2836 466.62
95.3957 466.562
95.5078 466.489
95.6199 466.403
95.732 466.303
95.8441 466.191
95.9562 466.065
96.0683 465.929
96.1804 465.609
96.2925 465.291
96.4046 465.006
96.5167 464.753
96.6288 464.532
96.7409 464.342
96.853 464.182
96.9651 464.052
97.0772 463.944
97.1893 463.823
97.3014 463.684
97.4135 463.528
97.5256 463.356
97.6377 463.167
97.7498 462.963
97.8619 462.744
97.974 462.499
98.0861 462.04
98.1982 461.615
98.3103 461.223
98.4224 460.864
98.5345 460.536
98.6466 460.239
98.7587 459.973
98.8708 459.736
98.9829 459.512
99.095 459.267
99.2071 458.999
99.3191 458.709
99.4312 458.399
99.5433 458.068
99.6554 457.718
99.7675 457.349
99.8796 456.897
99.9917 456.259
100.104 455.656
100.216 455.087
100.328 454.551
100.44 454.047
100.552 453.575
100.664 453.133
100.776 452.721
100.889 452.305
101.001 451.858
101.113 451.38
101.225 450.874
101.337 450.339
101.449 449.778
101.561 449.19
101.673 448.577
101.785 447.804
101.897 446.875
102.01 445.982
102.122 445.124
102.234 444.299
102.346 443.508
102.458 442.749
102.57 442.021
102.682 441.324
102.794 440.591
102.906 439.815
103.018 438.998
103.13 438.14
103.243 437.243
103.355 436.308
103.467 435.336
103.579 434.329
103.691 433.041
103.803 431.634
103.915 430.265
104.027 428.934
104.139 427.638
104.251 426.378
104.364 425.151
104.476 423.958
104.588 422.784
104.7 421.538
104.812 420.231
104.924 418.863
105.036 417.437
105.148 415.954
105.26 414.417
105.372 412.828
105.485 411.188
105.597 409.065
105.709 406.885
105.821 404.749
105.933 402.655
106.045 400.603
106.157 398.592
106.269 396.619
106.381 394.685
106.493 392.741
106.606 390.677
106.718 388.521
106.83 386.278
106.942 383.951
107.054 381.545
107.166 379.062
107.278 376.509
107.39 373.876
107.502 370.429
107.614 367.043
107.727 363.715
107.839 360.444
107.951 357.228
108.063 354.065
108.175 350.952
108.287 347.89
108.399 344.75
108.511 341.436
108.623 338
108.735 334.451
108.848 330.801
108.96 327.061
109.072 323.243
109.184 319.362
109.296 315.185
109.408 310.123
109.52 305.154
109.632 300.268
109.744 295.458
109.856 290.717
109.968 286.038
110.081 281.417
110.193 276.847
110.305 271.975
110.417 266.957
110.529 261.895
110.641 256.829
110.753 251.804
110.865 246.872
110.977 242.089
111.089 237.52
111.202 232.822
111.314 227.717
111.426 222.736
111.538 217.847
111.65 213.027
111.762 208.255
111.874 203.52
111.986 198.813
112.098 194.132
Mag_B [mTesla]
__settings__ -1 8 2 0 1 1
