"Distance [mm]","Mag_B [mTesla]"
20.8502954128746,469.226209128137
20.9623937753094,469.192296973002
21.0744921377442,469.172837699434
21.186590500179,469.167076016557
21.2986888626138,469.174274089949
21.4107872250487,469.193711863532
21.5228855874835,469.224687368139
21.6349839499183,469.266517016682
21.7470823123531,469.316864021084
21.8591806747879,469.37776504226
21.9712790372227,469.449951607985
22.0833773996575,469.533309747689
22.1954757620923,469.627741477412
22.3075741245271,469.733164922246
22.4196724869619,469.849514428913
22.5317708493968,469.976740668421
22.6438692118316,470.04428083316
22.7559675742664,469.975578675373
22.8680659367012,469.922067900251
22.980164299136,469.882997011843
23.0922626615708,469.857631067461
23.2043610240056,469.845252009091
23.3164593864404,469.845158982061
23.4285577488752,469.856668640864
23.54065611131,469.879115442052
23.6527544737448,469.912013624589
23.7648528361797,469.956512342406
